freq_Hz,real,imag,amplitude_dB,phase_deg,screen_FDATA
6039000000.0,-2.4140090942382812,-0.02831200882792473,7.655375372497223,-899.3280537969368,7.655375957489014
6039500000.0,-2.337254524230957,0.4658747911453247,7.5433289290817696,-911.2727766334228,7.543329238891602
6040000000.0,-2.2191061973571777,0.9462243914604187,7.649060389353868,-923.0933453871869,7.6490607261657715
6040500000.0,-1.9301764965057373,1.3971813917160034,7.541722233400745,-935.899349934843,7.541722297668457
6041000000.0,-1.663332462310791,1.7226123809814453,7.584628612804765,-946.003011668168,7.584629058837891
6041500000.0,-1.230027437210083,2.066643238067627,7.622269154563067,-959.2396827461263,7.622269153594971
6042000000.0,-0.7698069214820862,2.284661054611206,7.643464404128684,-971.3789728784861,7.6434645652771
6042500000.0,-0.2259673923254013,2.340979814529419,7.428231117274158,-984.4865007978465,7.428231239318848
6043000000.0,0.2915512025356293,2.413254976272583,7.714994140952454,-996.8886571243183,7.714993953704834
6043500000.0,0.7186358571052551,2.206728935241699,7.312736132269878,-1008.0381817595091,7.312736511230469
6044000000.0,1.2162439823150635,2.04060959815979,7.5153598222672136,-1020.7957845497133,7.515359878540039
6044500000.0,1.6234321594238281,1.7257572412490845,7.492546177943523,-1033.2500326304908,7.492546081542969
6045000000.0,1.9363807439804077,1.353174090385437,7.466848251149871,-1045.0535292675138,7.466848373413086
6045500000.0,2.1493186950683594,0.9175262451171875,7.373059949531533,-1056.8827677637642,7.3730597496032715
6046000000.0,2.2981443405151367,0.46289876103401184,7.400263895544764,-1068.6117017504607,7.400263786315918
6046500000.0,2.3213047981262207,-0.04394058883190155,7.316199253949543,-1081.084437362642,7.31619930267334
6047000000.0,2.2584006786346436,-0.45740851759910583,7.250614919534312,-1091.4496039133537,7.250614643096924
6047500000.0,2.073575496673584,-0.9491305947303772,7.1605046422276954,-1104.5948283321136,7.160504341125488
6048000000.0,1.8351551294326782,-1.3653454780578613,7.186646327837191,-1116.6490477395835,7.186645984649658
6048500000.0,1.5360122919082642,-1.6787225008010864,7.141153259455248,-1127.5418357257145,7.141152858734131
